content_id,title,issue_type,location,suggestion,category,source_status,evidence_required,action
cbt-b4ff4381a014,China 144-Hour Visa-Free Transit (2026 Guide),事实风险,144-hour-visa-free-transit-guide.md:body,动态事实关键词 'cost'：需核对最新官方信息并注明日期,prices / fees,NO_VERIFIED_SOURCE,官方承运方/场馆/运营方价格页或合作方费率表及核验日期,VERIFY_OR_REMOVE
cbt-b4ff4381a014,China 144-Hour Visa-Free Transit (2026 Guide),事实风险,144-hour-visa-free-transit-guide.md:body,动态事实关键词 'policy'：需核对最新官方信息并注明日期,law / regulation,NO_VERIFIED_SOURCE,官方法律法规原文或政府通知及生效日期,VERIFY_OR_REMOVE
cbt-b4ff4381a014,China 144-Hour Visa-Free Transit (2026 Guide),事实风险,144-hour-visa-free-transit-guide.md:body,动态事实关键词 'visa'：需核对最新官方信息并注明日期,visa / immigration,NO_VERIFIED_SOURCE,官方政府签证/出入境页面（如中国驻外使领馆、国家移民管理局）及生效日期,VERIFY_OR_REMOVE
cbt-b4ff4381a014,China 144-Hour Visa-Free Transit (2026 Guide),事实风险,144-hour-visa-free-transit-guide.md:body,动态事实关键词 'passport'：需核对最新官方信息并注明日期,visa / immigration,NO_VERIFIED_SOURCE,官方政府签证/出入境页面（如中国驻外使领馆、国家移民管理局）及生效日期,VERIFY_OR_REMOVE
cbt-b4ff4381a014,China 144-Hour Visa-Free Transit (2026 Guide),事实风险,144-hour-visa-free-transit-guide.md:body,动态事实关键词 'costs'：需核对最新官方信息并注明日期,prices / fees,NO_VERIFIED_SOURCE,官方承运方/场馆/运营方价格页或合作方费率表及核验日期,VERIFY_OR_REMOVE
cbt-b4ff4381a014,China 144-Hour Visa-Free Transit (2026 Guide),事实风险,144-hour-visa-free-transit-guide.md:body,动态事实关键词 'hours'：需核对最新官方信息并注明日期,opening hours,NO_VERIFIED_SOURCE,官方场馆/运营方页面及核验日期,VERIFY_OR_REMOVE
cbt-b4ff4381a014,China 144-Hour Visa-Free Transit (2026 Guide),事实风险,144-hour-visa-free-transit-guide.md:body,动态事实关键词 'rules'：需核对最新官方信息并注明日期,law / regulation,NO_VERIFIED_SOURCE,官方法律法规原文或政府通知及生效日期,VERIFY_OR_REMOVE
cbt-b4ff4381a014,China 144-Hour Visa-Free Transit (2026 Guide),事实风险,144-hour-visa-free-transit-guide.md:body,动态事实关键词 'immigration'：需核对最新官方信息并注明日期,visa / immigration,NO_VERIFIED_SOURCE,官方政府签证/出入境页面（如中国驻外使领馆、国家移民管理局）及生效日期,VERIFY_OR_REMOVE
cbt-6a164e0e8077,Chengdu Panda Base Guide: See the Pandas Like a Local,AI幻觉,2026-05-20-dude-wheres-my-panda-a-beijing-guys-guide-to-the-c.md:L37,无来源数据: '80 RMB'；标注来源或移除,prices / fees,NO_VERIFIED_SOURCE,官方承运方/场馆/运营方价格页或合作方费率表及核验日期,VERIFY_OR_REMOVE
cbt-6a164e0e8077,Chengdu Panda Base Guide: See the Pandas Like a Local,AI幻觉,2026-05-20-dude-wheres-my-panda-a-beijing-guys-guide-to-the-c.md:L43,无来源数据: '55 RMB'；标注来源或移除,prices / fees,NO_VERIFIED_SOURCE,官方承运方/场馆/运营方价格页或合作方费率表及核验日期,VERIFY_OR_REMOVE
