content_id,url,priority,recommended_action,reason,status,day_window,governance_class
cbt-244822dc113b,https://www.chinaboundtravel.com/posts/china-extends-144-hour-visa-free-transit-policy-to-more-countries/,P0,FACT_CHECK,"impressions=87, pos=41.9, indexed=INDEXED, fact_issues=8, affiliate_ctas=5, social_published=0",READY,1,REVIEW_REQUIRED
cbt-52a577c1b2b8,https://www.chinaboundtravel.com/posts/china-transportation-complete-guide-trains-subways-taxis-and-more/,P1,FACT_CHECK,"impressions=107, pos=22.3, indexed=INDEXED, fact_issues=4, affiliate_ctas=5, social_published=0",READY,3,REVIEW_REQUIRED
cbt-707a8899c0a7,https://www.chinaboundtravel.com/posts/how-to-use-wechat-pay-as-a-foreigner/,P1,FACT_CHECK,"impressions=83, pos=62.5, indexed=INDEXED, fact_issues=7, affiliate_ctas=4, social_published=0",READY,3,REVIEW_REQUIRED
cbt-80f6c218ad94,https://www.chinaboundtravel.com/posts/western-sichuan-overland-camping-route/,P1,FACT_CHECK,"impressions=26, pos=19.3, indexed=INDEXED, fact_issues=8, affiliate_ctas=5, social_published=0",READY,3,REVIEW_REQUIRED
cbt-de065751769e,https://www.chinaboundtravel.com/posts/china-transportation-complete-guide-trains-subways-taxis-and-more/,P1,FACT_CHECK,"impressions=107, pos=22.3, indexed=INDEXED, fact_issues=3, affiliate_ctas=5, social_published=0",READY,3,REVIEW_REQUIRED
cbt-34777b6c17c1,https://www.chinaboundtravel.com/posts/zhangjiajie-avatar-mountains-complete-guide-to-chinas-most-spectacular-park/,P1,FACT_CHECK,"impressions=20, pos=27.0, indexed=INDEXED, fact_issues=8, affiliate_ctas=12, social_published=0",READY,3,REVIEW_REQUIRED
cbt-9e2f5ffa1b6d,https://www.chinaboundtravel.com/posts/accommodation-tips-guide/,P1,FACT_CHECK,"impressions=17, pos=48.1, indexed=INDEXED, fact_issues=8, affiliate_ctas=3, social_published=0",READY,3,REVIEW_REQUIRED
cbt-b4ff4381a014,https://www.chinaboundtravel.com/posts/144-hour-visa-free-transit-guide/,WATCH,FROZEN,"impressions=107, pos=74.0, indexed=INDEXED, fact_issues=8, affiliate_ctas=5, social_published=3",FROZEN,6,FROZEN
cbt-e464169c4991,https://www.chinaboundtravel.com/posts/chinese-food-delivery-meituan-eleme-guide/,WATCH,FROZEN,"impressions=159, pos=19.6, indexed=INDEXED, fact_issues=8, affiliate_ctas=5, social_published=0",FROZEN,6,FROZEN
cbt-255af4ed003a,https://www.chinaboundtravel.com/posts/wechat-pay-for-foreigners-step-by-step-setup-and-common-mistakes-to-avoid-guide/,WATCH,WAIT,"impressions=1, pos=11.0, indexed=Alternate page with proper canonical tag, fact_issues=8, affiliate_ctas=11, social_published=0",WAIT,6,WAIT
cbt-cc4549872c92,https://www.chinaboundtravel.com/posts/china-high-speed-rail-how-to-book-tickets/,WATCH,WAIT,"impressions=0, pos=0.0, indexed=NOT_INDEXED, fact_issues=8, affiliate_ctas=5, social_published=0",WAIT,6,WAIT
