content_id,url,partner,affiliate_clicks_28d,affiliate_sessions_28d,revenue_28d,currency,status
cbt-034b43ef5e3a,https://www.chinaboundtravel.com/posts/chinese-tea-culture-where-to-experience-authentic-teahouses/,NONE,0,NULL,NULL,USD,ZERO
cbt-067675763415,https://www.chinaboundtravel.com/posts/chinas-food-through-the-ages-guide/,NONE,0,NULL,NULL,USD,ZERO
cbt-07563e9b51cc,https://www.chinaboundtravel.com/posts/alipay-wechat-pay-foreigners-guide/,ALL,0,NULL,NULL,USD,ZERO
cbt-0953b5433c00,https://www.chinaboundtravel.com/posts/cultural-etiquette-guide/,NONE,0,NULL,NULL,USD,ZERO
cbt-0bb1cb1e308d,https://www.chinaboundtravel.com/posts/china-national-parks-zhangjiajie-jiuzhaigou-and-beyond-guide/,NONE,0,NULL,NULL,USD,ZERO
cbt-1005a037234b,https://www.chinaboundtravel.com/posts/food-recommendations-guide/,ALL,0,NULL,NULL,USD,ZERO
cbt-23c31fe5b281,https://www.chinaboundtravel.com/posts/yunnan-adventure-rice-terraces-ancient-towns-and-ethnic-minorities-guide/,ALL,0,NULL,NULL,USD,ZERO
cbt-244822dc113b,https://www.chinaboundtravel.com/posts/china-extends-144-hour-visa-free-transit-policy-to-more-countries/,ALL,0,NULL,NULL,USD,ZERO
cbt-255af4ed003a,https://www.chinaboundtravel.com/posts/wechat-pay-for-foreigners-step-by-step-setup-and-common-mistakes-to-avoid-guide/,ALL,0,NULL,NULL,USD,ZERO
cbt-277de627eb2d,https://www.chinaboundtravel.com/posts/hangzhou-west-lake-tea-culture-g20-guide/,ALL,0,NULL,NULL,USD,ZERO
cbt-302467d853db,https://www.chinaboundtravel.com/posts/shanghai-bund-french-concession-2-day-guide/,ALL,0,NULL,NULL,USD,ZERO
cbt-34777b6c17c1,https://www.chinaboundtravel.com/posts/zhangjiajie-avatar-mountains-complete-guide-to-chinas-most-spectacular-park/,ALL,0,NULL,NULL,USD,ZERO
cbt-49088019c529,https://www.chinaboundtravel.com/posts/china-family-travel-tips-a-californians-guide/,NONE,0,NULL,NULL,USD,ZERO
cbt-4e09fa4aa93d,https://www.chinaboundtravel.com/posts/china-high-speed-train-survival-guide-booking-classes-and-insider-tips/,ALL,0,NULL,NULL,USD,ZERO
cbt-52a577c1b2b8,https://www.chinaboundtravel.com/posts/china-transportation-complete-guide-trains-subways-taxis-and-more/,ALL,0,NULL,NULL,USD,ZERO
cbt-550a6e3e929c,https://www.chinaboundtravel.com/posts/sichuan-hotpot-guide-history-best-restaurants-and-cultural-significance/,ALL,0,NULL,NULL,USD,ZERO
cbt-558f85f45e9a,https://www.chinaboundtravel.com/posts/the-history-and-culture-of-the-great-wall-beyond-the-tourist-trail-guide/,ALL,0,NULL,NULL,USD,ZERO
cbt-57d0b0208d3b,https://www.chinaboundtravel.com/posts/is-china-safe-for-tourists-2026-honest-safety-assessment/,ALL,0,NULL,NULL,USD,ZERO
cbt-663ab3f3b0fa,https://www.chinaboundtravel.com/posts/shanghai-beyond-the-bund-hidden-neighborhoods-and-local-culture/,ALL,0,NULL,NULL,USD,ZERO
cbt-673e981fe6f2,https://www.chinaboundtravel.com/posts/is-china-safe-for-tourists-2026-honest-assessment/,ALL,0,NULL,NULL,USD,ZERO
cbt-698862ce2129,https://www.chinaboundtravel.com/posts/chinese-tea-culture-history-types-and-tea-ceremony-guide/,ALL,0,NULL,NULL,USD,ZERO
cbt-6a164e0e8077,https://www.chinaboundtravel.com/posts/dude-wheres-my-panda-a-beijing-guys-guide-to-the-c/,ALL,0,NULL,NULL,USD,ZERO
cbt-6f28480baea0,https://www.chinaboundtravel.com/posts/how-to-survive-chinese-train-station/,ALL,0,NULL,NULL,USD,ZERO
cbt-707a8899c0a7,https://www.chinaboundtravel.com/posts/how-to-use-wechat-pay-as-a-foreigner/,ALL,0,NULL,NULL,USD,ZERO
cbt-73f33c49bc51,https://www.chinaboundtravel.com/posts/ultimate-guide-to-china-visa-for-tourists/,ALL,0,NULL,NULL,USD,ZERO
cbt-74e8424894c4,https://www.chinaboundtravel.com/posts/china-bargaining-and-shopping-guide/,NONE,0,NULL,NULL,USD,ZERO
cbt-80ac63165adb,https://www.chinaboundtravel.com/posts/chinabound-travel-guide-2026-08-monthly-update/,ALL,0,NULL,NULL,USD,ZERO
cbt-80f6c218ad94,https://www.chinaboundtravel.com/posts/western-sichuan-overland-camping-route/,ALL,0,NULL,NULL,USD,ZERO
cbt-92448be1e0ca,https://www.chinaboundtravel.com/posts/china-remote-work-guide-a-californians-5-year-chengdu-experience/,ALL,0,NULL,NULL,USD,ZERO
cbt-932a277b1899,https://www.chinaboundtravel.com/posts/china-packing-list-2026-what-to-bring-and-what-to-leave-at-home/,NONE,0,NULL,NULL,USD,ZERO
cbt-95d9a1b95440,https://www.chinaboundtravel.com/posts/chinabound-travel-guide-2026-07-monthly-update/,ALL,0,NULL,NULL,USD,ZERO
cbt-9e2f5ffa1b6d,https://www.chinaboundtravel.com/posts/accommodation-tips-guide/,ALL,0,NULL,NULL,USD,ZERO
cbt-a349eee78670,https://www.chinaboundtravel.com/posts/internet-connection-china-esim-vpn-guide/,ALL,0,NULL,NULL,USD,ZERO
cbt-abb64a856c29,https://www.chinaboundtravel.com/posts/paypal-alipay-wechat-pay-qr-code-support/,ALL,0,NULL,NULL,USD,ZERO
cbt-ae69cb9f84b0,https://www.chinaboundtravel.com/posts/how-to-use-alipay-as-a-foreigner-complete-setup-guide-2026/,ALL,0,NULL,NULL,USD,ZERO
cbt-b4ff4381a014,https://www.chinaboundtravel.com/posts/144-hour-visa-free-transit-guide/,ALL,0,NULL,NULL,USD,ZERO
cbt-bc3e1afe5dc0,https://www.chinaboundtravel.com/posts/shanghai-vs-beijing-which-chinese-city-should-you-visit-first-guide/,NONE,0,NULL,NULL,USD,ZERO
cbt-bf4ec5e57a07,https://www.chinaboundtravel.com/posts/guilin-and-yangshuo-the-ultimate-karst-landscape-guide-for-2026/,ALL,0,NULL,NULL,USD,ZERO
cbt-bfeaa5ca9007,https://www.chinaboundtravel.com/posts/china-photography-guide-capturing-the-wonders-of-the-middle-kingdom/,ALL,0,NULL,NULL,USD,ZERO
