content_id,page,partner,affiliate_clicks_28d,affiliate_sessions_28d,revenue_28d,pageviews_28d,sessions_28d_total,affiliate_clicks_per_1000_sessions,gsc_clicks_28d,gsc_impressions_28d,commercial_intent
cbt-e464169c4991,https://www.chinaboundtravel.com/posts/chinese-food-delivery-meituan-eleme-guide/,Airalo,0,NULL,NULL,NULL,166,0.0,0,159,FOOD
cbt-e464169c4991,https://www.chinaboundtravel.com/posts/chinese-food-delivery-meituan-eleme-guide/,Aviasales,0,NULL,NULL,NULL,166,0.0,0,159,FOOD
cbt-e464169c4991,https://www.chinaboundtravel.com/posts/chinese-food-delivery-meituan-eleme-guide/,Booking,0,NULL,NULL,NULL,166,0.0,0,159,FOOD
cbt-e464169c4991,https://www.chinaboundtravel.com/posts/chinese-food-delivery-meituan-eleme-guide/,Klook,0,NULL,NULL,NULL,166,0.0,0,159,FOOD
cbt-b4ff4381a014,https://www.chinaboundtravel.com/posts/144-hour-visa-free-transit-guide/,Aviasales,0,NULL,NULL,NULL,166,0.0,0,107,VISA
cbt-b4ff4381a014,https://www.chinaboundtravel.com/posts/144-hour-visa-free-transit-guide/,Booking,0,NULL,NULL,NULL,166,0.0,0,107,VISA
cbt-b4ff4381a014,https://www.chinaboundtravel.com/posts/144-hour-visa-free-transit-guide/,Klook,0,NULL,NULL,NULL,166,0.0,0,107,VISA
cbt-b4ff4381a014,https://www.chinaboundtravel.com/posts/144-hour-visa-free-transit-guide/,SafetyWing,0,NULL,NULL,NULL,166,0.0,0,107,VISA
cbt-52a577c1b2b8,https://www.chinaboundtravel.com/posts/china-transportation-complete-guide-trains-subways-taxis-and-more/,Airalo,0,NULL,NULL,NULL,166,0.0,0,107,TRAIN
cbt-52a577c1b2b8,https://www.chinaboundtravel.com/posts/china-transportation-complete-guide-trains-subways-taxis-and-more/,Aviasales,0,NULL,NULL,NULL,166,0.0,0,107,TRAIN
cbt-52a577c1b2b8,https://www.chinaboundtravel.com/posts/china-transportation-complete-guide-trains-subways-taxis-and-more/,Booking,0,NULL,NULL,NULL,166,0.0,0,107,TRAIN
cbt-52a577c1b2b8,https://www.chinaboundtravel.com/posts/china-transportation-complete-guide-trains-subways-taxis-and-more/,Klook,0,NULL,NULL,NULL,166,0.0,0,107,TRAIN
cbt-52a577c1b2b8,https://www.chinaboundtravel.com/posts/china-transportation-complete-guide-trains-subways-taxis-and-more/,SafetyWing,0,NULL,NULL,NULL,166,0.0,0,107,TRAIN
cbt-244822dc113b,https://www.chinaboundtravel.com/posts/china-extends-144-hour-visa-free-transit-policy-to-more-countries/,Airalo,0,NULL,NULL,NULL,166,0.0,0,87,VISA
cbt-244822dc113b,https://www.chinaboundtravel.com/posts/china-extends-144-hour-visa-free-transit-policy-to-more-countries/,Aviasales,0,NULL,NULL,NULL,166,0.0,0,87,VISA
cbt-244822dc113b,https://www.chinaboundtravel.com/posts/china-extends-144-hour-visa-free-transit-policy-to-more-countries/,Booking,0,NULL,NULL,NULL,166,0.0,0,87,VISA
cbt-244822dc113b,https://www.chinaboundtravel.com/posts/china-extends-144-hour-visa-free-transit-policy-to-more-countries/,Klook,0,NULL,NULL,NULL,166,0.0,0,87,VISA
cbt-244822dc113b,https://www.chinaboundtravel.com/posts/china-extends-144-hour-visa-free-transit-policy-to-more-countries/,SafetyWing,0,NULL,NULL,NULL,166,0.0,0,87,VISA
cbt-707a8899c0a7,https://www.chinaboundtravel.com/posts/how-to-use-wechat-pay-as-a-foreigner/,Airalo,0,NULL,NULL,NULL,166,0.0,0,83,PAYMENT
cbt-707a8899c0a7,https://www.chinaboundtravel.com/posts/how-to-use-wechat-pay-as-a-foreigner/,Aviasales,0,NULL,NULL,NULL,166,0.0,0,83,PAYMENT
cbt-707a8899c0a7,https://www.chinaboundtravel.com/posts/how-to-use-wechat-pay-as-a-foreigner/,Klook,0,NULL,NULL,NULL,166,0.0,0,83,PAYMENT
cbt-80ac63165adb,https://www.chinaboundtravel.com/posts/chinabound-travel-guide-2026-08-monthly-update/,Airalo,0,NULL,NULL,NULL,166,0.0,0,52,GENERAL
cbt-80ac63165adb,https://www.chinaboundtravel.com/posts/chinabound-travel-guide-2026-08-monthly-update/,Aviasales,0,NULL,NULL,NULL,166,0.0,0,52,GENERAL
cbt-80ac63165adb,https://www.chinaboundtravel.com/posts/chinabound-travel-guide-2026-08-monthly-update/,Booking,0,NULL,NULL,NULL,166,0.0,0,52,GENERAL
cbt-80ac63165adb,https://www.chinaboundtravel.com/posts/chinabound-travel-guide-2026-08-monthly-update/,Klook,0,NULL,NULL,NULL,166,0.0,0,52,GENERAL
cbt-80ac63165adb,https://www.chinaboundtravel.com/posts/chinabound-travel-guide-2026-08-monthly-update/,NordVPN,0,NULL,NULL,NULL,166,0.0,0,52,GENERAL
cbt-80ac63165adb,https://www.chinaboundtravel.com/posts/chinabound-travel-guide-2026-08-monthly-update/,SafetyWing,0,NULL,NULL,NULL,166,0.0,0,52,GENERAL
cbt-bfeaa5ca9007,https://www.chinaboundtravel.com/posts/china-photography-guide-capturing-the-wonders-of-the-middle-kingdom/,Airalo,0,NULL,NULL,NULL,166,0.0,0,51,GENERAL
