date,clicks,impressions,ctr
2026-07-19,0,18,0
2026-07-20,0,23,0
2026-07-21,0,23,0
2026-07-22,0,12,0
2026-07-23,0,30,0
2026-07-24,0,15,0
2026-07-25,0,21,0
2026-07-26,0,22,0
2026-07-27,0,26,0
2026-07-28,0,20,0
2026-07-29,0,20,0
2026-07-30,0,7,0
2026-07-31,0,9,0
2026-08-01,0,5,0
2026-08-02,0,23,0
2026-08-03,0,20,0
2026-08-04,1,5,0.2
2026-08-05,0,32,0
2026-08-06,0,53,0
2026-08-07,0,12,0
2026-08-08,0,11,0
2026-08-09,0,11,0
2026-08-10,0,152,0
2026-08-11,1,117,0.008547
2026-08-12,1,212,0.004717
2026-08-13,0,230,0
