query,intent,clicks,impressions,ctr,position
china high speed rail tickets,TRANSPORT,0,10,0.0,26.4
china 144 hour transit visa,VISA,0,8,0.0,61.0
china bound,BRAND,0,8,0.0,7.25
144 hour visa china,VISA,0,7,0.0,45.0
144 hours visa china,VISA,0,6,0.0,71.0
china high speed train tickets,TRANSPORT,0,6,0.0,35.666666666666664
shenzhen 144 hour visa free guide,VISA,0,6,0.0,73.66666666666667
chinabound,BRAND,0,5,0.0,19.2
chinabound.online,BRAND,0,5,0.0,44.0
xi an china,OTHER,0,5,0.0,76.6
144 hour visa free transit,VISA,0,4,0.0,63.5
china bullet train tickets,TRANSPORT,0,4,0.0,55.75
china high speed rail ticket,TRANSPORT,0,4,0.0,14.5
travel to xi'an,CITY,0,4,0.0,89.25
wechat pay for foreigners,PAYMENT,0,4,0.0,63.0
china visa itinerary template,VISA,0,3,0.0,9.333333333333334
china xi an,OTHER,0,3,0.0,71.66666666666667
how to buy china high speed rail tickets,TRANSPORT,0,3,0.0,18.0
how to pay with wechat,PAYMENT,0,3,0.0,67.66666666666667
how to ride china's high-speed trains,TRANSPORT,0,3,0.0,58.666666666666664
internet china,INTERNET,0,3,0.0,83.66666666666667
wechat pay for tourists,PAYMENT,0,3,0.0,66.33333333333333
xi an,OTHER,0,3,0.0,73.66666666666667
12306.com,TRANSPORT,0,2,0.0,30.0
144 hours china visa,VISA,0,2,0.0,48.5
144-hour visa-free transit,VISA,0,2,0.0,88.0
144-hour visa-free transit in china,VISA,0,2,0.0,86.0
accommodation standards of chengdu tourism companies,CITY,0,2,0.0,68.0
accommodation standards of sichuan international travel service,CITY,0,2,0.0,68.0
accommodation standards of sichuan travel agencies,CITY,0,2,0.0,86.5
book china high speed train,TRANSPORT,0,2,0.0,29.0
china 144-hour visa-free transit,VISA,0,2,0.0,82.5
china bullet train official website,TRANSPORT,0,2,0.0,38.5
china transportation guide,TRAVEL_GUIDE,0,2,0.0,93.5
dos and donts in china,OTHER,0,2,0.0,81.5
eleme app,OTHER,0,2,0.0,49.0
guangzhou transit visa,VISA,0,2,0.0,85.0
high speed tickets,TRANSPORT,0,2,0.0,40.5
high speed train tickets,TRANSPORT,0,2,0.0,28.5
how to book china high speed rail,TRANSPORT,0,2,0.0,18.0
how to pay using wechat,PAYMENT,0,2,0.0,72.5
how to use wechat to pay,PAYMENT,0,2,0.0,57.5
internet access china,INTERNET,0,2,0.0,79.0
internet access in china,INTERNET,0,2,0.0,85.0
internet in china,INTERNET,0,2,0.0,48.0
transit visa in china,VISA,0,2,0.0,80.0
wechat payment foreigner,PAYMENT,0,2,0.0,52.5
where to buy china high speed rail tickets,TRANSPORT,0,2,0.0,18.5
xi'an china,CITY,0,2,0.0,72.0
zhangjiajie visitor guide,TRAVEL_GUIDE,0,2,0.0,96.5
144-hour validation program,VISA,0,1,0.0,7.0
accommodation standards of chengdu china youth travel service,CITY,0,1,0.0,47.0
accommodation standards of chengdu travel agencies,CITY,0,1,0.0,56.0
alipay for foreigners china 2026,PAYMENT,0,1,0.0,64.0
appetite for china,OTHER,0,1,0.0,63.0
can foreigners set up wechat pay,PAYMENT,0,1,0.0,66.0
can i use wechat outside of china,OTHER,0,1,0.0,51.0
can you use wechat pay as a foreigner,PAYMENT,0,1,0.0,49.0
china 144 hour visa,VISA,0,1,0.0,59.0
china cultural norms,OTHER,0,1,0.0,77.0
china fast train booking,TRANSPORT,0,1,0.0,17.0
china high speed rail booking,TRANSPORT,0,1,0.0,15.0
china high speed rail official website,TRANSPORT,0,1,0.0,67.0
china high speed rail price,TRANSPORT,0,1,0.0,61.0
china high speed train booking,TRANSPORT,0,1,0.0,17.0
china hsr tickets,TRANSPORT,0,1,0.0,51.0
china train booking website,TRANSPORT,0,1,0.0,60.0
china transit visa,VISA,0,1,0.0,81.0
china travel 7 day itinerary,TRAVEL_GUIDE,0,1,0.0,82.0
china visa 144 hours,VISA,0,1,0.0,79.0
china visa transit,VISA,0,1,0.0,67.0
china xi'an,CITY,0,1,0.0,64.0
chinese bullet train tickets,TRANSPORT,0,1,0.0,46.0
chinese etiquette,TRAVEL_GUIDE,0,1,0.0,89.0
comparison of accommodation conditions in chengdu,CITY,0,1,0.0,44.0
cultural norms in china,OTHER,0,1,0.0,71.0
ele me china,OTHER,0,1,0.0,7.0
food delivery chengdu,CITY,0,1,0.0,57.0
foreigner using wechat pay in china,PAYMENT,0,1,0.0,82.0
high speed rail tickets,TRANSPORT,0,1,0.0,50.0
high speed train china tickets,TRANSPORT,0,1,0.0,70.0
high speed train ticket,TRANSPORT,0,1,0.0,16.0
how to book high speed rail in china,TRANSPORT,0,1,0.0,20.0
how to use china train ticket e-tickets,TRANSPORT,0,1,0.0,79.0
how to use we chat pay,PAYMENT,0,1,0.0,98.0
how to use wechat pay as a foreigner,PAYMENT,0,1,0.0,52.0
how to use wechat pay in canada,PAYMENT,0,1,0.0,63.0
how to use wechat to pay in china,PAYMENT,0,1,0.0,61.0
internet connection in china,INTERNET,0,1,0.0,76.0
internet en china,INTERNET,0,1,0.0,77.0
internet in china für touristen,INTERNET,0,1,0.0,91.0
internet use in china,INTERNET,0,1,0.0,84.0
lijiang rice terraces,OTHER,0,1,0.0,14.0
