keys,clicks,impressions,ctr,position
sgp,2,31,0.064516,39.548
chn,1,22,0.045455,7.864
arg,0,1,0,7
aus,0,27,0,45.593
bel,0,1,0,86
bgd,0,9,0,63.889
bhs,0,1,0,9
can,0,13,0,58.308
che,0,3,0,44.667
col,0,2,0,47
cri,0,1,0,56
deu,0,9,0,16.111
dza,0,4,0,58
egy,0,2,0,9
esp,0,3,0,57
fin,0,4,0,52.75
fra,0,14,0,71.214
gbr,0,41,0,54.195
geo,0,1,0,10
grc,0,1,0,82
hkg,0,15,0,29.2
hun,0,2,0,11.5
idn,0,19,0,61.895
ind,0,72,0,55.347
irl,0,2,0,9.5
isr,0,2,0,56
jor,0,1,0,57
jpn,0,4,0,8.5
kaz,0,1,0,10
ken,0,1,0,79
kgz,0,1,0,6
kor,0,5,0,22.6
mar,0,9,0,57.444
mex,0,11,0,48.273
mng,0,1,0,72
mys,0,19,0,57.579
nld,0,17,0,22.765
nzl,0,1,0,10
omn,0,1,0,8
pak,0,10,0,49.4
phl,0,48,0,59.125
png,0,1,0,10
pol,0,1,0,3
qat,0,1,0,75
rou,0,1,0,5
rus,0,7,0,46.857
sau,0,7,0,66.429
swe,0,1,0,6
tha,0,13,0,49.769
tur,0,9,0,32.444
ukr,0,6,0,51.5
usa,0,616,0,24.862
vnm,0,33,0,38.364
zaf,0,1,0,11
