social_content_id,content_id,platform,post_type,publish_at,impressions,clicks,website_sessions,engaged_sessions,affiliate_clicks,revenue,data_source,status
soc-p32-001,cbt-cfd5d7b39f09,pinterest,knowledge,2026-08-31T00:00:00+00:00,NULL,NULL,NULL,NULL,NULL,NULL,NOT_AVAILABLE,PLANNED
soc-p32-002,cbt-cfd5d7b39f09,pinterest,tip,2026-09-05T01:00:00+00:00,NULL,NULL,NULL,NULL,NULL,NULL,NOT_AVAILABLE,PLANNED
soc-p32-003,cbt-cfd5d7b39f09,ig,visual,2026-09-03T00:30:00+00:00,NULL,NULL,NULL,NULL,NULL,NULL,NOT_AVAILABLE,PLANNED
soc-p32-004,cbt-c59607760fee,pinterest,knowledge,2026-09-01T00:00:00+00:00,NULL,NULL,NULL,NULL,NULL,NULL,NOT_AVAILABLE,PLANNED
soc-p32-005,cbt-c59607760fee,pinterest,tip,2026-09-06T01:00:00+00:00,NULL,NULL,NULL,NULL,NULL,NULL,NOT_AVAILABLE,PLANNED
soc-p32-006,cbt-c59607760fee,ig,visual,2026-09-04T00:30:00+00:00,NULL,NULL,NULL,NULL,NULL,NULL,NOT_AVAILABLE,PLANNED
soc-p32-007,cbt-550a6e3e929c,pinterest,knowledge,2026-09-02T00:00:00+00:00,NULL,NULL,NULL,NULL,NULL,NULL,NOT_AVAILABLE,PLANNED
soc-p32-008,cbt-550a6e3e929c,pinterest,tip,2026-09-07T01:00:00+00:00,NULL,NULL,NULL,NULL,NULL,NULL,NOT_AVAILABLE,PLANNED
soc-p32-009,cbt-550a6e3e929c,ig,visual,2026-09-05T00:30:00+00:00,NULL,NULL,NULL,NULL,NULL,NULL,NOT_AVAILABLE,PLANNED
soc-p32-010,cbt-302467d853db,pinterest,knowledge,2026-09-03T00:00:00+00:00,NULL,NULL,NULL,NULL,NULL,NULL,NOT_AVAILABLE,PLANNED
soc-p32-011,cbt-302467d853db,pinterest,tip,2026-09-08T01:00:00+00:00,NULL,NULL,NULL,NULL,NULL,NULL,NOT_AVAILABLE,PLANNED
soc-p32-012,cbt-302467d853db,ig,visual,2026-09-06T00:30:00+00:00,NULL,NULL,NULL,NULL,NULL,NULL,NOT_AVAILABLE,PLANNED
soc-p32-013,cbt-bf4ec5e57a07,pinterest,knowledge,2026-09-04T00:00:00+00:00,NULL,NULL,NULL,NULL,NULL,NULL,NOT_AVAILABLE,PLANNED
soc-p32-014,cbt-bf4ec5e57a07,pinterest,tip,2026-09-09T01:00:00+00:00,NULL,NULL,NULL,NULL,NULL,NULL,NOT_AVAILABLE,PLANNED
soc-p32-015,cbt-bf4ec5e57a07,ig,visual,2026-09-07T00:30:00+00:00,NULL,NULL,NULL,NULL,NULL,NULL,NOT_AVAILABLE,PLANNED
soc-p32-016,cbt-34777b6c17c1,pinterest,knowledge,2026-09-05T00:00:00+00:00,NULL,NULL,NULL,NULL,NULL,NULL,NOT_AVAILABLE,PLANNED
soc-p32-017,cbt-34777b6c17c1,pinterest,tip,2026-08-31T01:00:00+00:00,NULL,NULL,NULL,NULL,NULL,NULL,NOT_AVAILABLE,PLANNED
soc-p32-018,cbt-34777b6c17c1,ig,visual,2026-09-08T00:30:00+00:00,NULL,NULL,NULL,NULL,NULL,NULL,NOT_AVAILABLE,PLANNED
soc-p32-019,cbt-baa2f6fba2f0,pinterest,knowledge,2026-09-06T00:00:00+00:00,NULL,NULL,NULL,NULL,NULL,NULL,NOT_AVAILABLE,PLANNED
soc-p32-020,cbt-baa2f6fba2f0,pinterest,tip,2026-09-01T01:00:00+00:00,NULL,NULL,NULL,NULL,NULL,NULL,NOT_AVAILABLE,PLANNED
soc-p32-021,cbt-baa2f6fba2f0,ig,visual,2026-09-09T00:30:00+00:00,NULL,NULL,NULL,NULL,NULL,NULL,NOT_AVAILABLE,PLANNED
soc-p32-022,cbt-80f6c218ad94,pinterest,knowledge,2026-09-07T00:00:00+00:00,NULL,NULL,NULL,NULL,NULL,NULL,NOT_AVAILABLE,PLANNED
soc-p32-023,cbt-80f6c218ad94,pinterest,tip,2026-09-02T01:00:00+00:00,NULL,NULL,NULL,NULL,NULL,NULL,NOT_AVAILABLE,PLANNED
soc-p32-024,cbt-80f6c218ad94,ig,visual,2026-08-31T00:30:00+00:00,NULL,NULL,NULL,NULL,NULL,NULL,NOT_AVAILABLE,PLANNED
soc-p32-025,cbt-244822dc113b,pinterest,knowledge,2026-09-08T00:00:00+00:00,NULL,NULL,NULL,NULL,NULL,NULL,NOT_AVAILABLE,PLANNED
soc-p32-026,cbt-244822dc113b,pinterest,tip,2026-09-03T01:00:00+00:00,NULL,NULL,NULL,NULL,NULL,NULL,NOT_AVAILABLE,PLANNED
soc-p32-027,cbt-244822dc113b,ig,visual,2026-09-01T00:30:00+00:00,NULL,NULL,NULL,NULL,NULL,NULL,NOT_AVAILABLE,PLANNED
soc-p32-028,cbt-707a8899c0a7,pinterest,knowledge,2026-09-09T00:00:00+00:00,NULL,NULL,NULL,NULL,NULL,NULL,NOT_AVAILABLE,PLANNED
soc-p32-029,cbt-707a8899c0a7,pinterest,tip,2026-09-04T01:00:00+00:00,NULL,NULL,NULL,NULL,NULL,NULL,NOT_AVAILABLE,PLANNED
soc-p32-030,cbt-707a8899c0a7,ig,visual,2026-09-02T00:30:00+00:00,NULL,NULL,NULL,NULL,NULL,NULL,NOT_AVAILABLE,PLANNED
